"team","run_gap","carries_allowed","yards_per_carry_allowed","epa_per_rush_allowed","success_rate_allowed","explosive_rate_allowed","evidence_class","output_class","window"
"BAL","END",220,5.04545454545454,-0.0329805478892657,0.459090909090909,0.118181818181818,"STRONG","OBSERVED","recent"
"BAL","GUARD",362,3.60220994475138,-0.152859133042191,0.348066298342541,0.0414364640883978,"STRONG","OBSERVED","recent"
"BAL","TACKLE",275,4.42545454545455,-0.0823747821258172,0.352727272727273,0.08,"STRONG","OBSERVED","recent"
"BUF","END",308,5.62662337662338,0.125970350859576,0.474025974025974,0.142857142857143,"STRONG","OBSERVED","recent"
"BUF","GUARD",334,4.69760479041916,0.00357680756350714,0.404191616766467,0.0748502994011976,"STRONG","OBSERVED","recent"
"BUF","TACKLE",223,4.25112107623318,-0.171626469542282,0.318385650224215,0.0941704035874439,"STRONG","OBSERVED","recent"
"CAR","END",356,5.60393258426966,0.145206931911343,0.474719101123596,0.143258426966292,"STRONG","OBSERVED","recent"
"CAR","GUARD",347,4.23631123919308,-0.00420038024057864,0.400576368876081,0.0461095100864553,"STRONG","OBSERVED","recent"
"CAR","TACKLE",375,4.528,0.0180381280762803,0.437333333333333,0.0533333333333333,"STRONG","OBSERVED","recent"
"CHI","END",316,4.77848101265822,-0.0297558570418497,0.411392405063291,0.123417721518987,"STRONG","OBSERVED","recent"
"CHI","GUARD",343,4.57142857142857,0.00534986904614818,0.419825072886297,0.075801749271137,"STRONG","OBSERVED","recent"
"CHI","TACKLE",345,4.58260869565217,-0.0386843248161189,0.411594202898551,0.0811594202898551,"STRONG","OBSERVED","recent"
"CIN","END",296,6.03716216216216,0.157865352277154,0.47972972972973,0.14527027027027,"STRONG","OBSERVED","recent"
"CIN","GUARD",398,4.24623115577889,-0.031373540850568,0.419597989949749,0.0703517587939698,"STRONG","OBSERVED","recent"
"CIN","TACKLE",321,4.9190031152648,0.00171412637842028,0.395638629283489,0.0872274143302181,"STRONG","OBSERVED","recent"
"CLE","END",313,5.91373801916933,0.10329011271945,0.450479233226837,0.140575079872204,"STRONG","OBSERVED","recent"
"CLE","GUARD",375,3.864,-0.13713956662613,0.349333333333333,0.0666666666666667,"STRONG","OBSERVED","recent"
"CLE","TACKLE",277,4.1768953068592,-0.129672804687842,0.353790613718412,0.101083032490975,"STRONG","OBSERVED","recent"
"DAL","END",315,5.43492063492064,0.11042060382248,0.501587301587302,0.146031746031746,"STRONG","OBSERVED","recent"
"DAL","GUARD",277,3.95306859205776,-0.0369255293181851,0.429602888086643,0.0577617328519856,"STRONG","OBSERVED","recent"
"DAL","TACKLE",311,4.983922829582,0.0413314563526238,0.418006430868167,0.090032154340836,"STRONG","OBSERVED","recent"
"DEN","END",230,4.41304347826087,-0.0735796976087256,0.408695652173913,0.11304347826087,"STRONG","OBSERVED","recent"
"DEN","GUARD",332,3.93072289156627,-0.0963593944979174,0.364457831325301,0.0451807228915663,"STRONG","OBSERVED","recent"
"DEN","TACKLE",296,4.39189189189189,-0.124158087505543,0.327702702702703,0.0641891891891892,"STRONG","OBSERVED","recent"
"DET","END",312,4.71474358974359,-0.0726522331066179,0.416666666666667,0.0993589743589744,"STRONG","OBSERVED","recent"
"DET","GUARD",152,4.42105263157895,-0.0402476355593694,0.381578947368421,0.0592105263157895,"STRONG","OBSERVED","recent"
"DET","TACKLE",318,3.97169811320755,-0.0690164362380951,0.349056603773585,0.050314465408805,"STRONG","OBSERVED","recent"
"GB","END",334,4.33532934131737,-0.0666322666835024,0.401197604790419,0.119760479041916,"STRONG","OBSERVED","recent"
"GB","GUARD",284,3.81338028169014,-0.0258589929249261,0.419014084507042,0.0352112676056338,"STRONG","OBSERVED","recent"
"GB","TACKLE",286,4.75874125874126,-0.0566892168613742,0.423076923076923,0.0944055944055944,"STRONG","OBSERVED","recent"
"HOU","END",221,3.710407239819,-0.123033411569539,0.411764705882353,0.113122171945701,"STRONG","OBSERVED","recent"
"HOU","GUARD",323,3.69349845201238,-0.129849317261333,0.340557275541796,0.0464396284829721,"STRONG","OBSERVED","recent"
"HOU","TACKLE",287,3.75609756097561,-0.102276150037734,0.369337979094077,0.0557491289198606,"STRONG","OBSERVED","recent"
"IND","END",281,4.09608540925267,-0.0927811334507249,0.387900355871886,0.0854092526690391,"STRONG","OBSERVED","recent"
